===== No 20 Top 50 Capital Cities by Population Report =====
ID    City                           Country                                       Region                         Continent       Population  
52    Addis Abeba                    Ethiopia                                      Eastern Africa                 Africa          2495000     
53    Nairobi                        Kenya                                         Eastern Africa                 Africa          2290000     
54    Harare                         Zimbabwe                                      Eastern Africa                 Africa          1410000     
55    Lusaka                         Zambia                                        Eastern Africa                 Africa          1317000     
56    Maputo                         Mozambique                                    Eastern Africa                 Africa          1018938     
57    Mogadishu                      Somalia                                       Eastern Africa                 Africa          997000      
58    Kampala                        Uganda                                        Eastern Africa                 Africa          890800      
59    Antananarivo                   Madagascar                                    Eastern Africa                 Africa          675669      
60    Lilongwe                       Malawi                                        Eastern Africa                 Africa          435964      
61    Asmara                         Eritrea                                       Eastern Africa                 Africa          431000      
62    Djibouti                       Djibouti                                      Eastern Africa                 Africa          383000      
63    Bujumbura                      Burundi                                       Eastern Africa                 Africa          300000      
64    Kigali                         Rwanda                                        Eastern Africa                 Africa          286000      
65    Dodoma                         Tanzania                                      Eastern Africa                 Africa          189000      
66    Port-Louis                     Mauritius                                     Eastern Africa                 Africa          138200      
67    Saint-Denis                    Réunion                                       Eastern Africa                 Africa          131480      
68    Victoria                       Seychelles                                    Eastern Africa                 Africa          41000       
69    Moroni                         Comoros                                       Eastern Africa                 Africa          36000       
70    Mamoutzou                      Mayotte                                       Eastern Africa                 Africa          12000       
71    Seoul                          South Korea                                   Eastern Asia                   Asia            9981619     
72    Tokyo                          Japan                                         Eastern Asia                   Asia            7980230     
73    Peking                         China                                         Eastern Asia                   Asia            7472000     
74    Taipei                         Taiwan                                        Eastern Asia                   Asia            2641312     
75    Pyongyang                      North Korea                                   Eastern Asia                   Asia            2484000     
76    Victoria                       Hong Kong                                     Eastern Asia                   Asia            1312637     
77    Ulan Bator                     Mongolia                                      Eastern Asia                   Asia            773700      
78    Macao                          Macao                                         Eastern Asia                   Asia            437500      
79    Moscow                         Russian Federation                            Eastern Europe                 Europe          8389200     
80    Kyiv                           Ukraine                                       Eastern Europe                 Europe          2624000     
81    Bucuresti                      Romania                                       Eastern Europe                 Europe          2016131     
82    Budapest                       Hungary                                       Eastern Europe                 Europe          1811552     
83    Minsk                          Belarus                                       Eastern Europe                 Europe          1674000     
84    Warszawa                       Poland                                        Eastern Europe                 Europe          1615369     
85    Praha                          Czech Republic                                Eastern Europe                 Europe          1181126     
86    Sofija                         Bulgaria                                      Eastern Europe                 Europe          1122302     
87    Chisinau                       Moldova                                       Eastern Europe                 Europe          719900      
88    Bratislava                     Slovakia                                      Eastern Europe                 Europe          448292      
89    Port Moresby                   Papua New Guinea                              Melanesia                      Oceania         247000      
90    Suva                           Fiji Islands                                  Melanesia                      Oceania         77366       
91    Nouméa                         New Caledonia                                 Melanesia                      Oceania         76293       
92    Honiara                        Solomon Islands                               Melanesia                      Oceania         50100       
93    Port-Vila                      Vanuatu                                       Melanesia                      Oceania         33700       
94    Dalap-Uliga-Darrit             Marshall Islands                              Micronesia                     Oceania         28000       
